자치구,중구,용산구,동대문구,강북구,은평구,서대문구,마포구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구
2022.05.06.00,"42,863","71,476","122,151","97,491","156,862","104,585","128,754","82,526","143,291","138,461","172,898","137,075","177,099","228,054"
2022.05.05.00,"42,822","71,406","122,079","97,402","156,645","104,458","128,635","82,471","143,174","138,309","172,724","136,904","176,894","227,838"
2022.05.04.00,"42,724","71,237","121,885","97,251","156,332","104,221","128,353","82,367","142,930","138,027","172,382","136,598","176,541","227,439"
2022.05.03.00,"42,604","71,086","121,651","97,059","155,921","103,982","128,073","82,227","142,645","137,704","172,069","136,249","176,172","227,025"
2022.05.02.00,"42,480","70,909","121,341","96,836","155,657","103,720","127,741","82,011","142,346","137,345","171,617","135,891","175,711","226,499"
2022.05.01.00,"42,463","70,875","121,255","96,779","155,499","103,647","127,607","81,975","142,264","137,245","171,494","135,741","175,548","226,310"
2022.04.30.00,"42,410","70,764","121,055","96,644","155,214","103,472","127,385","81,845","142,050","137,024","171,215","135,531","175,255","225,965"
2022.04.29.00,"42,344","70,647","120,851","96,466","154,972","103,280","127,133","81,715","141,822","136,764","170,942","135,212","174,877","225,541"
2022.04.28.00,"42,223","70,472","120,627","96,235","154,589","103,061","126,834","81,514","141,561","136,509","170,535","134,913","174,405","225,057"
2022.04.27.00,"42,103","70,319","120,337","95,996","154,196","102,813","126,485","81,325","141,170","136,136","170,077","134,512","173,919","224,461"
2022.04.26.00,"41,988","70,070","120,018","95,714","153,574","102,510","126,068","81,081","140,682","135,747","169,504","133,955","173,253","223,700"
2022.04.25.00,"41,813","69,757","119,550","95,384","153,086","102,115","125,482","80,752","140,125","135,217","168,836","133,460","172,613","222,808"
2022.04.24.00,"41,774","69,674","119,382","95,276","152,770","101,979","125,304","80,677","139,964","135,062","168,614","133,221","172,299","222,522"
2022.04.23.00,"41,650","69,442","119,081","95,004","152,338","101,676","124,920","80,450","139,553","134,677","168,054","132,728","171,740","221,816"
2022.04.22.00,"41,492","69,167","118,721","94,732","151,742","101,298","124,421","80,200","139,078","134,169","167,471","132,248","171,101","221,012"
2022.04.21.00,"41,322","68,872","118,268","94,382","151,231","100,878","123,808","79,906","139,208","133,594","166,778","131,698","170,432","220,203"
2022.04.20.00,"41,163","68,557","117,808","94,014","150,598","100,398","123,170","79,556","138,605","132,992","165,956","131,095","169,665","219,288"
2022.04.19.00,"40,982","68,182","117,259","93,634","149,666","99,818","122,477","79,114","137,806","132,213","165,032","130,340","168,763","218,149"
